Company Name,Stock Name,Filing Time,New Product,Product Description
BAC,BAC,2025-02-25,Employee health and safety,"Our employees, representatives, and third-party personnel may face disruptions due to illness or health emergencies. Human errors, mismanagement, and lack of proper training could result in operational losses and reputational harm."
Chevron,CVX,2025-02-21,Solar-to-hydrogen production,"In 2024, Chevron’s California average net daily oil-equivalent production was 71,000 barrels. Chevron owns and operates between 61 field operations across the United States and Canada. They announced the construction of a solar-to-hydrogen power plant in Kern County, California."
Chevron,CVX,2025-02-21,Dairy Biomethane production,"In 2024, Chevron announced the construction of a dairy biomethane production plant with partnerships in Brightmark RNG (3492) and Hilmar (2875). These plants utilize anaerobic digestion to produce biomethane from lactose."
Chevron,CVX,2025-02-21,Eloy Renewables project,"In 2024, Chevron announced the construction of a new Eloy Renewable Natural Gas plant in Arizona. The plant will use anaerobic digestion technology to capture methane from agricultural waste."
Chevron,CVX,2025-02-21,Engineering and innovation center,"In 2024, Chevron established an engineering and innovation center in India to support their advanced energy solutions. The center will focus on developing cutting-edge technologies for sustainable energy production."
Disney,DIS,2024-11-14,ESPN-branded DTC offering including live linear streams of domestic channels and ESPN+,"Disney plans to launch a new DTC service offering, which includes live-linear streaming of domestic ESPN-branded television channels and ESPN+."
Disney,DIS,2024-11-14,Disney Aspire,"Our Disney Aspire program offers assistance for tuition, books and fees to eligible participating employees at a variety of in-network learning providers and universities."
AMGN,AMGN,2024-11-01,IMDELLTRA,Accelerated approval from the FDA for the treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC) with disease progression on or after platinum-based chemotherapy.
AMGN,AMGN,2024-11-01,BLINCYTO,Approval from the FDA for front-line consolidation of patients with CD19-positive Philadelphia chromosome-negative B-cell precursors acute lymphoblastic leukemia (B-ALL).
AMD,NPE,2025-02-05,5th Gen AMD EPYC™ family of server processors,"The AMD EPYC family of server processors, based on the x86 architecture, are designed for high-performance computing, enterprise IT, supercomputing, and large data centers. They feature AI accelerators optimized for leadership performance."
PFE,PFE,2025-02-27,Several of our initiatives,Focus on expanding R&D and addressing pricing pressures related to regulatory submissions and product development.
T-Mobile USA Inc.,,2025-01-31,High Speed Internet (including fiber broadband),"We are expanding our offerings beyond traditional wireless services to include High Speed Internet, advertising technology and services, and specialized network solutions such as network slicing for first responders (T-Priority) and 5G advanced network solutions (ANS) for enterprises."
BSX,BSX,2025-02-18,AGENT™ Drug-Coated Balloon,"The first drug-coated coronary balloon in the U.S., which is indicated to treat in-stent restenosis in patients with coronary artery disease."
BSX,BSX,2025-02-18,ACURATE™ Prime™ Aortic Valve System,The company's next-generation transcatheter aortic valve replacement technology designed to treat severe aortic stenosis in patients across all surgical risk levels while also expanding the treatment range to patients with a larger anatomy.
BSX,BSX,2025-02-18, WATCHMAN™,The first device to offer a non-pharmacologic alternative to oral anti-coagulants that has been studied in a randomized clinical trial and is the leading device in percutaneous LAAC globally.
BSX,BSX,2025-02-18,FARAWAVE™ NAV Ablation Catheter,Combination of FARAPulse™ PFA System and OPAL HDx™ Mapping System
RTX,Raytheon,2024-12-31,GTF engine certifications,Certified Pratt & Whitney engines for A320neo and Cessna citation flights.
RTX,Raytheon,2024-12-31,PW545D engine certification,Certified PW545D engine for Cessna Citation Ascend flights.
RTX,Raytheon,2024-12-31,GEM-T missile targeting 30% fuel efficiency,Missile defense interceptors targeting up to 30% fuel efficiency.
NOW,,November 2024,DTC streaming services - NOW,"International NOW service offerings include packages for monthly access to entertainment, sports and movie programming, as well as daily pass options for sports programming. Our domestic NOW TV service is only offered to qualifying residential broadband customers and includes monthly access to a variety of linear television networks; entertainment and movie programming; integrated access to free streaming channels from Xumo Play, NBC and Sky; and access to the ad-supported tier of Peacock."
United Launch Alliance,United Launch Alliance - ULA,2025-03-01,"{'ground-based midcourse defense': 'Ground-based Midcourse Defense', 'proprietary and space launch system': 'Proprietary and Space Launch System'}","{'ground-based midcourse defense': 'Developments in the ground-based midcourse defense program, including ongoing developments in the development of ground-based aircraft systems.', 'proprietary and space launch system': 'Updates to the proprietary and space launch system program, focusing on advancements in spacecraft and launch vehicle technology.'}"
GS,GS,2025-02-27,Mental Health First Aid certification," GS has introduced and globally scaled the internationally recognized Mental Health First Aid certification to its employees. As of December 2024, over 1,300 employees were certified across the firm, surpassing their goal to train 1,000 Mental Health First Aiders by the end of 2024."
GS,GS,2025-02-27,Expanded Cross-Border Banking Services," GS has expanded cross-border banking services, including 2030 targets for energy, power, and manufacturing portfolios, with the goal of carbon neutrality in operations. The firm now integrates E.U. subsidiaries into its business model."
GS,GS,2025-02-27,Climate Transition Initiatives," GS has announced its goal to align financing activities with a net-zero-by-2050 pathway. The company also expanded operational carbon commitments, prioritizing emissions reductions through subsidiaries established in the E.U."
GS,GS,2025-02-27,Manager Mental Health Training Program," GS has introduced a manager mental health training program aimed at supporting leaders across the globe, achieving an 85% completion rate. This program helps organizations transition effectively to mental health first aid."
DELL,Dell Technologies,2024-03-25, VMware, VMware's go-to-market approach was changed following the acquisition of Broadcom.
Equifax,EFX,2025-02-20,data fabric,"A custom cloud-native platform designed to accelerate innovation and deliver new data products, enhancing decision-making capabilities for customers."
Equifax,EFX,2025-02-20,proprietary analytics,"Advanced data analytics tools providing leading insights to support market-leading capabilities, enabling innovation and growth."
Equifax,EFX,2025-02-20,custom single data fabric,"A custom platform tailored for Equifax, enabling faster innovation and product development through optimized cloud-native technology."
Equifax,EFX,2025-02-20,data transformation initiatives,"Merged with Equifax, leveraging cloud capabilities for migrating data and technologies to a new environment, enhancing growth through improved systems."
AVGO,AVGO,2024-12-20,expansion of product feature capabilities for semiconductors,"AVGO plans to expand its product feature capabilities, focusing on semiconductors. This expansion aims to enhance the quality and performance of existing products while introducing new features tailored to customer needs."
QCOM Incorporated,A10B,"October 12, 2021",Stock Repurchase Program,"Announced October 12, 2021 by QCOM, the company announced a stock buyback program."
QCOM Incorporated,A15B,"November 6, 2024",Stock Repurchase Program,"Announced November 6, 2024 by QCOM, the company announced a stock buyback program."
DUK,DUK,2025-02-27,Decommissioning of radioactive contamination structures and safe disposal at a low-level waste facility.," removal of radioactive contamination in structures, systems, and components containing radioactive contamination are removed from a site and safely disposed at a commercially operated low-level waste disposal facility."
CL,CL,2025-02-13,toothpaste tube,We have transitioned approximately 75% of our toothpaste SKUs globally and 95% in North America to recyclable tubes.
JNJ,JNJ,2025-02-13,STELARA biosimilar,A new product offering in the biologic pharmaceuticals sector.
JNJ,JNJ,2025-02-13,USTEKINUMAB (ustekinumab),A new product offering in the biologic pharmaceuticals sector.
Intel,INTC,2025-01-31,Intel Efficient Cores (E-cores),"The Intel Efficient Cores, or E-cores, are designed to address the growing diversity in workloads and deployments in data center environments. Our 5th Gen Intel Xeon Scalable processors, based on Intel 7, were launched in 2023 and continued to ramp throughout 2024."
Intel,INTC,2025-01-31,Intel Arc B-Series,"The Intel Arc B-Series is a GPU feature that offers modern GPU features to power immersive games, creator applications, and AI workloads. It leverages our Xe2 GPU architecture for improved efficiency, second-generation ray tracing units, and XMX AI acceleration."
Intel,INTC,2025-01-31,Open Platform for Enterprise AI,"Since launch, the ecosystem has been actively engaged with an expanding network of partners enhancing features and developing new capabilities. The Open Platform for Enterprise AI under the Linux Foundation is designed to accelerate deployment of generative AI use cases through industry standard modular microservice architecture."
HD,HD,2024-03-13,"Bath faucets, showerheads, aerators, toilets, and irrigation controllers; LED light bulbs; tankless water heaters; many other products.","Expansion of merchandising offerings to include various products such as bathroom fixtures, lighting, and energy-efficient systems."
HD,HD,2024-03-13,LED light bulbs; tankless water heaters; many other products.,Set goals for reducing energy costs and water usage through product purchases.
HD,HD,2024-03-13,Push mowers and outdoor power equipment; polystyrene foam packaging; fiber packaging.,"Announcements on energy efficiency solutions for push mowers and outdoor power equipment, including reducing polystyrene foam packaging."
V,V,2024-11-13,Visa Deep Authorization,"An AI-powered transaction risk scoring solution tailored to better manage CNP payments, strengthening the protection of Visa transactions."
V,V,2024-11-13,Visa Protect for A2A Payments,"Our first fraud prevention solution built specifically for real-time non-card payments, enhancing security across P2P experiences."
V,V,2024-11-13,Visa Risk Manager with scheme agnostic Advanced Authorization,"A comprehensive AI-powered fraud risk management solution that is scheme agnostic, providing enhanced security across our payment ecosystem."
T,T,2025-02-12,Network Expansion in the U.S. and AT&T's Service Change,"The filing announces T's expansion of 5G coverage in the United States, including a multi-gig rollout by January 2022, as well as AT&T's decision to cancel its service in New York due to regulatory changes."
